,Id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag
62490,62491,384955,74,20,single,rented,no,Economist,Dharmavaram,Andhra_Pradesh,9,13,0
8392,8393,5531777,58,18,single,rented,no,Official,Jamshedpur,Jharkhand,8,11,0
217328,217329,4016936,68,5,single,rented,no,Aviator,Singrauli,Madhya_Pradesh,3,11,0
65556,65557,2716709,36,9,single,rented,no,Aviator,Vadodara,Gujarat,9,14,0
5567,5568,5330432,47,2,single,rented,yes,Chemical_engineer,Bidhannagar,West_Bengal,2,10,0
77422,77423,3193872,71,10,single,rented,yes,Technical_writer,Madanapalle,Andhra_Pradesh,10,10,0
1737,1738,3238461,35,16,single,rented,no,Engineer,Thane,Maharashtra,8,13,1
55480,55481,4392708,28,1,single,rented,yes,Firefighter,Patiala,Punjab,1,10,0
61679,61680,3253176,60,10,single,rented,yes,Physician,Bhatpara,West_Bengal,5,11,0
66451,66452,3956822,65,5,single,rented,yes,Chemical_engineer,Surat,Gujarat,3,14,0
152023,152024,3019138,69,5,single,rented,no,Graphic_Designer,Giridih,Jharkhand,5,10,0
250839,250840,2273105,62,8,single,rented,no,Chef,Nangloi_Jat,Delhi,6,12,0
166051,166052,9350682,42,12,single,rented,no,Librarian,Bhagalpur,Bihar,7,10,0
100053,100054,7802075,53,18,single,rented,no,Statistician,Ambattur,Tamil_Nadu,7,12,0
117722,117723,9744419,47,10,single,rented,yes,Fashion_Designer,Bharatpur,Rajasthan,10,13,0
36865,36866,1230389,33,18,single,rented,yes,Army_officer,Jorhat,Assam,9,10,0
1415,1416,3006454,24,11,single,norent_noown,no,Comedian,Unnao,Uttar_Pradesh,11,11,0
188496,188497,8381715,72,0,single,rented,yes,Surveyor,North_Dumdum,West_Bengal,0,10,0
61291,61292,9074439,41,15,single,rented,no,Chartered_Accountant,Bhagalpur,Bihar,7,10,0
159349,159350,170128,29,17,single,rented,no,Analyst,Ambala,Haryana,12,12,0
207481,207482,4737242,29,5,married,rented,no,Dentist,Gudivada,Andhra_Pradesh,5,13,0
89951,89952,294302,67,7,single,rented,no,Air_traffic_controller,Jodhpur,Rajasthan,7,14,0
239875,239876,7074419,77,5,single,rented,no,Drafter,Medininagar,Jharkhand,5,12,0
47836,47837,3354920,51,12,single,rented,yes,Computer_hardware_engineer,Vadodara,Gujarat,4,11,0
139274,139275,241556,68,14,single,rented,no,Civil_engineer,Durg,Chhattisgarh,10,11,0
126975,126976,4156095,65,5,single,rented,no,Industrial_Engineer,Jorhat,Assam,5,13,0
106919,106920,221630,58,12,single,rented,yes,Web_designer,Durg,Chhattisgarh,7,12,0
227745,227746,1952864,23,19,married,rented,no,Chef,Sangli-Miraj_&_Kupwad,Maharashtra,9,12,1
153473,153474,9846008,48,0,single,rented,no,Designer,Hazaribagh,Jharkhand,0,13,0
225293,225294,1890522,34,10,married,rented,no,Graphic_Designer,Thane,Maharashtra,10,11,0
23558,23559,4977653,54,17,single,rented,yes,Technical_writer,Bidar,Karnataka,13,11,0
140687,140688,2542814,55,10,single,rented,no,Consultant,Moradabad,Uttar_Pradesh,8,11,0
186030,186031,2853298,23,16,single,rented,yes,Design_Engineer,Bareilly,Uttar_Pradesh,13,11,0
227546,227547,945399,67,12,single,rented,yes,Graphic_Designer,Berhampur,Odisha,3,13,1
225206,225207,9951465,55,20,single,rented,no,Police_officer,Patiala,Punjab,3,11,0
242748,242749,6175827,41,6,single,rented,no,Industrial_Engineer,Amroha,Uttar_Pradesh,6,12,0
228760,228761,197840,37,20,married,rented,no,Physician,Barasat,West_Bengal,9,11,0
140823,140824,9304920,44,6,single,rented,no,Physician,Dharmavaram,Andhra_Pradesh,6,11,0
217756,217757,7489315,22,15,single,rented,no,Lawyer,Darbhanga,Bihar,7,10,0
143585,143586,3316589,76,6,single,rented,no,Police_officer,Gurgaon,Haryana,3,14,0
201653,201654,8830162,77,18,single,rented,no,Surgeon,Jaunpur,Uttar_Pradesh,14,13,0
125063,125064,248099,56,9,single,rented,no,Police_officer,Surat,Gujarat,7,12,0
238621,238622,344825,67,4,single,rented,yes,Design_Engineer,Bhavnagar,Gujarat,4,11,0
107903,107904,3458394,56,9,single,rented,yes,Air_traffic_controller,Tirupati[21][22],Andhra_Pradesh,9,12,0
223922,223923,8871352,47,9,single,rented,no,Biomedical_Engineer,Meerut,Uttar_Pradesh,3,13,0
247351,247352,5991122,66,16,single,rented,yes,Army_officer,Chandigarh_city,Chandigarh,3,10,0
81920,81921,422892,59,7,single,rented,yes,Biomedical_Engineer,Satara,Maharashtra,7,10,1
9184,9185,6591039,72,15,single,rented,yes,Politician,Thanjavur,Tamil_Nadu,3,14,0
136381,136382,2087379,33,17,married,rented,yes,Computer_hardware_engineer,Bokaro,Jharkhand,4,10,0
227138,227139,1625589,62,19,single,owned,no,Petroleum_Engineer,Kulti,West_Bengal,5,10,0
85631,85632,7578708,58,18,single,rented,yes,Surveyor,Gangtok,Sikkim,14,13,0
309,310,6936269,46,9,single,rented,no,Firefighter,Eluru[25],Andhra_Pradesh,8,14,0
14967,14968,3864475,44,14,single,rented,no,Official,Cuttack,Odisha,10,11,1
91552,91553,3524413,77,5,single,rented,no,Artist,Giridih,Jharkhand,5,11,1
82958,82959,3601316,56,15,single,rented,yes,Psychologist,Adoni,Andhra_Pradesh,9,12,0
172156,172157,3879782,75,8,single,rented,no,Fashion_Designer,Ongole,Andhra_Pradesh,8,14,0
107481,107482,8727386,46,9,single,rented,no,Lawyer,Shimoga,Karnataka,5,10,0
157608,157609,8658757,28,6,single,rented,yes,Chef,Jamalpur[36],Bihar,6,14,0
13809,13810,9840303,24,4,single,owned,no,Aviator,Gudivada,Andhra_Pradesh,4,11,0
112381,112382,3963382,43,19,single,rented,no,Drafter,Visakhapatnam[4],Andhra_Pradesh,14,14,0
92619,92620,3026261,49,7,single,rented,no,Technology_specialist,Phusro,Jharkhand,7,14,0
70099,70100,432658,52,13,single,rented,no,Police_officer,Sambalpur,Odisha,13,10,0
200165,200166,3171323,21,17,single,rented,no,Industrial_Engineer,Shimla,Himachal_Pradesh,5,12,0
90810,90811,2624615,66,4,single,rented,yes,Computer_hardware_engineer,Vijayawada,Andhra_Pradesh,4,12,0
511,512,5736165,57,1,single,rented,no,Engineer,Nagaon,Assam,1,10,0
192396,192397,7961910,45,19,married,rented,no,Scientist,Tirupati[21][22],Andhra_Pradesh,14,13,0
44919,44920,3640092,65,2,single,rented,yes,Fashion_Designer,Ghaziabad,Uttar_Pradesh,2,12,0
141771,141772,6650713,72,8,single,rented,no,Librarian,Bulandshahr,Uttar_Pradesh,8,11,0
83606,83607,6101750,64,4,single,rented,yes,Psychologist,Bhubaneswar,Odisha,4,11,1
127236,127237,8786565,42,5,single,rented,no,Industrial_Engineer,Hindupur,Andhra_Pradesh,4,12,0
208208,208209,7741893,32,9,single,owned,yes,Computer_hardware_engineer,Jodhpur,Rajasthan,9,12,0
60217,60218,1944232,23,20,single,rented,no,Fashion_Designer,Bhalswa_Jahangir_Pur,Delhi,14,13,0
28169,28170,3006135,59,18,single,rented,no,Chartered_Accountant,Solapur,Maharashtra,6,10,0
745,746,9420845,27,3,married,rented,no,Chef,Raichur,Karnataka,3,13,0
126113,126114,6382273,43,18,single,rented,no,Analyst,Morbi,Gujarat,12,14,0
12666,12667,1382869,44,8,single,rented,no,Civil_engineer,Rajahmundry[19][20],Andhra_Pradesh,8,12,0
31456,31457,413950,37,14,single,rented,no,Magistrate,Bareilly,Uttar_Pradesh,6,11,0
55801,55802,5524568,44,14,single,rented,no,Firefighter,Anand,Gujarat,6,12,0
241204,241205,243617,76,7,single,rented,no,Librarian,Raipur,Chhattisgarh,4,11,1
18949,18950,446041,67,19,single,rented,no,Air_traffic_controller,Agra,Uttar_Pradesh,11,13,0
93392,93393,975686,37,12,single,rented,no,Hotel_Manager,Ballia,Uttar_Pradesh,12,13,0
167872,167873,9272937,75,18,single,rented,yes,Technology_specialist,Jehanabad[38],Bihar,7,13,0
198246,198247,9904501,63,20,single,rented,yes,Petroleum_Engineer,Miryalaguda,Telangana,6,13,1
226994,226995,6297318,67,3,single,rented,yes,Computer_hardware_engineer,Ujjain,Madhya_Pradesh,3,11,1
77825,77826,5765117,43,7,single,rented,no,Police_officer,Jamalpur[36],Bihar,7,11,0
131195,131196,9089173,63,6,single,rented,yes,Chartered_Accountant,Munger,Bihar,6,12,0
27079,27080,412015,23,8,single,rented,no,Technical_writer,Gurgaon,Haryana,4,10,0
228306,228307,712094,56,0,single,rented,no,Petroleum_Engineer,Rajkot,Gujarat,0,12,1
149463,149464,785016,36,16,single,rented,no,Economist,Hospet,Karnataka,7,12,0
105857,105858,5920246,75,13,single,rented,yes,Technology_specialist,Bathinda,Punjab,13,13,0
40558,40559,5642075,53,8,single,rented,no,Chef,Durg,Chhattisgarh,8,14,1
93068,93069,6073350,68,5,single,rented,no,Hotel_Manager,Pune,Maharashtra,5,14,0
246346,246347,9538127,77,13,single,rented,no,Aviator,Mathura,Uttar_Pradesh,13,10,0
104062,104063,1529495,53,6,single,owned,yes,Microbiologist,Rourkela,Odisha,6,14,0
39277,39278,279241,41,0,single,rented,yes,Physician,Thiruvananthapuram,Kerala,0,14,0
47831,47832,4703291,68,11,single,rented,yes,Economist,Bihar_Sharif,Bihar,11,14,0
226865,226866,3006927,43,16,single,rented,no,Firefighter,Alwar,Rajasthan,6,14,0
15955,15956,5218820,76,14,single,owned,no,Civil_servant,Karimnagar,Telangana,12,14,0
77088,77089,9728879,30,5,single,rented,yes,Artist,Gudivada,Andhra_Pradesh,5,12,0
30237,30238,2474838,64,9,single,rented,no,Chemical_engineer,Chennai,Tamil_Nadu,8,10,0
49837,49838,3705729,73,4,single,rented,no,Architect,New_Delhi,Delhi,4,13,0
116240,116241,5197016,28,6,single,rented,yes,Aviator,Tiruppur,Tamil_Nadu,6,11,0
204945,204946,9265462,48,6,single,rented,no,Hotel_Manager,Udaipur,Rajasthan,6,10,0
21799,21800,9043312,71,10,single,owned,no,Physician,Phagwara,Punjab,3,14,0
118359,118360,2074419,37,1,single,rented,no,Analyst,Kozhikode,Kerala,1,11,0
176349,176350,6914829,70,15,single,rented,yes,Financial_Analyst,Thanjavur,Tamil_Nadu,13,13,0
147803,147804,74087,69,15,single,rented,yes,Artist,Malda,West_Bengal,8,14,0
19712,19713,9849899,39,8,single,rented,no,Fashion_Designer,Jorhat,Assam,5,13,1
39482,39483,8593281,22,19,single,rented,no,Chef,Ambala,Haryana,11,11,1
339,340,4445947,53,17,single,rented,no,Technology_specialist,Coimbatore,Tamil_Nadu,4,14,1
97496,97497,3419204,79,18,single,owned,no,Geologist,Kottayam,Kerala,3,12,0
187584,187585,2814526,31,18,single,rented,no,Air_traffic_controller,Mahbubnagar,Telangana,6,13,0
44786,44787,412310,54,3,married,rented,no,Magistrate,Khandwa,Madhya_Pradesh,3,12,0
171577,171578,3864368,58,13,single,rented,yes,Web_designer,Mumbai,Maharashtra,8,13,0
244105,244106,5227399,44,8,single,rented,no,Economist,Yamunanagar,Haryana,8,14,0
201639,201640,3025272,78,6,single,rented,no,Petroleum_Engineer,Bellary,Karnataka,6,11,0
246202,246203,3306171,45,0,single,rented,yes,Web_designer,Firozabad,Uttar_Pradesh,0,13,0
134738,134739,9663578,71,16,single,rented,no,Scientist,Madurai,Tamil_Nadu,11,14,0
20763,20764,4231253,79,19,single,rented,yes,Technician,Thrissur,Kerala,10,10,0
31762,31763,3879782,75,8,single,rented,no,Fashion_Designer,Ongole,Andhra_Pradesh,8,14,0
224810,224811,4634649,41,7,single,rented,no,Aviator,Jodhpur,Rajasthan,7,13,0
69208,69209,6653271,49,11,single,rented,no,Civil_engineer,Kochi,Kerala,11,10,1
244167,244168,2947353,57,3,single,rented,no,Physician,Dhule,Maharashtra,3,14,0
246983,246984,2580306,72,16,single,rented,yes,Aviator,Agra,Uttar_Pradesh,13,11,0
141391,141392,7231280,27,0,single,rented,yes,Civil_engineer,Bareilly,Uttar_Pradesh,0,10,0
129959,129960,3722050,73,12,single,rented,no,Mechanical_engineer,Kolkata,West_Bengal,11,13,0
81248,81249,2436026,50,4,single,rented,yes,Lawyer,Karimnagar,Telangana,4,10,0
212084,212085,8198785,30,10,single,rented,no,Technician,Surendranagar_Dudhrej,Gujarat,10,11,0
18258,18259,8942790,26,0,single,rented,no,Air_traffic_controller,Bikaner,Rajasthan,0,14,0
56585,56586,7613756,41,15,single,rented,no,Official,Malda,West_Bengal,10,13,0
231482,231483,3205489,29,0,single,rented,no,Computer_operator,Ballia,Uttar_Pradesh,0,12,0
232424,232425,2180382,47,19,single,rented,no,Scientist,Mumbai,Maharashtra,10,14,0
12979,12980,1208514,72,6,single,rented,no,Analyst,Deoghar,Jharkhand,6,10,0
198485,198486,1190125,33,12,single,rented,no,Petroleum_Engineer,Bhopal,Madhya_Pradesh,8,10,0
117434,117435,6340921,51,11,single,rented,no,Technician,Lucknow,Uttar_Pradesh,3,13,0
214321,214322,8841707,53,13,single,rented,no,Biomedical_Engineer,Farrukhabad,Uttar_Pradesh,3,12,0
64483,64484,3075503,32,17,single,rented,no,Magistrate,Bhavnagar,Gujarat,3,13,1
93471,93472,8442518,71,6,single,rented,yes,Petroleum_Engineer,Gandhidham,Gujarat,6,11,0
120276,120277,3768361,75,9,single,owned,yes,Flight_attendant,Jaipur,Rajasthan,6,13,0
72408,72409,3940320,62,10,single,rented,yes,Financial_Analyst,Kavali,Andhra_Pradesh,9,10,0
246939,246940,9424882,40,18,single,rented,no,Surveyor,Salem,Tamil_Nadu,10,11,0
199905,199906,2966871,78,7,married,rented,no,Magistrate,Patna,Bihar,3,11,0
49119,49120,2889220,34,18,single,rented,yes,Financial_Analyst,Navi_Mumbai,Maharashtra,13,14,0
132639,132640,1171826,44,8,single,rented,no,Computer_hardware_engineer,Salem,Tamil_Nadu,8,11,0
159825,159826,4035806,40,12,single,rented,no,Scientist,Nashik,Maharashtra,12,12,0
6078,6079,9506949,49,14,single,rented,yes,Civil_servant,Bellary,Karnataka,13,11,0
75056,75057,9063924,47,19,single,rented,no,Engineer,Ambarnath,Maharashtra,9,11,0
108179,108180,5616245,76,20,single,rented,yes,Surveyor,Kadapa[23],Andhra_Pradesh,13,13,0
81829,81830,476900,33,20,single,rented,yes,Firefighter,Saharsa[29],Bihar,7,10,0
210546,210547,1963558,36,15,single,rented,yes,Microbiologist,Shimla,Himachal_Pradesh,7,13,1
12004,12005,5314421,46,14,single,rented,no,Flight_attendant,Jalandhar,Punjab,8,12,0
4594,4595,8064081,55,18,single,rented,yes,Software_Developer,Bhiwani,Haryana,9,14,0
204902,204903,5597223,74,8,single,rented,yes,Computer_operator,Ajmer,Rajasthan,3,14,0
219046,219047,8481744,73,17,single,rented,no,Magistrate,Nellore[14][15],Andhra_Pradesh,13,10,0
84760,84761,3775596,73,1,single,rented,no,Secretary,Ongole,Andhra_Pradesh,1,10,0
133785,133786,7458916,64,3,single,rented,no,Industrial_Engineer,Mirzapur,Uttar_Pradesh,3,10,0
83708,83709,6520687,63,7,single,norent_noown,no,Psychologist,Vadodara,Gujarat,5,10,0
247573,247574,5096072,21,19,single,owned,no,Computer_hardware_engineer,Mangalore,Karnataka,11,11,0
236105,236106,6379680,39,4,single,rented,no,Chartered_Accountant,Dibrugarh,Assam,4,13,0
189823,189824,2442625,67,9,married,rented,yes,Firefighter,Guntur[13],Andhra_Pradesh,7,12,0
36971,36972,6382731,51,8,single,rented,yes,Surveyor,Dehradun,Uttarakhand,5,11,0
121174,121175,5004535,78,5,single,rented,no,Computer_operator,Gandhidham,Gujarat,5,10,0
146206,146207,7891663,64,6,single,rented,no,Politician,Akola,Maharashtra,6,10,0
153936,153937,8906336,69,18,married,rented,yes,Mechanical_engineer,Bikaner,Rajasthan,13,11,0
58468,58469,2096865,23,11,single,rented,no,Drafter,Dehradun,Uttarakhand,11,12,0
10025,10026,365275,22,15,single,rented,no,Secretary,Panihati,West_Bengal,8,13,0
125590,125591,7393090,59,19,single,rented,no,Geologist,Malda,West_Bengal,4,13,0
138254,138255,4280751,38,12,single,rented,no,Chemical_engineer,Mahbubnagar,Telangana,8,11,0
226339,226340,1940055,67,3,single,rented,no,Psychologist,Mumbai,Maharashtra,3,12,0
18618,18619,1666705,35,9,single,rented,yes,Artist,Kanpur,Uttar_Pradesh,7,11,0
39217,39218,9766082,28,9,single,rented,no,Army_officer,Durgapur,West_Bengal,3,14,1
82921,82922,5400619,71,1,single,rented,no,Software_Developer,Allahabad,Uttar_Pradesh[5],1,12,0
100882,100883,1322865,77,12,single,rented,yes,Physician,Tirupati[21][22],Andhra_Pradesh,11,12,0
243704,243705,6530577,46,14,single,norent_noown,no,Statistician,Bhiwani,Haryana,6,14,0
141081,141082,5270510,50,17,single,rented,no,Software_Developer,Karawal_Nagar,Delhi,4,11,0
26771,26772,8942160,36,4,single,rented,yes,Architect,Bellary,Karnataka,4,12,0
54483,54484,2324042,45,16,single,rented,no,Drafter,Agartala,Tripura,13,13,0
118299,118300,3369187,59,3,single,rented,yes,Surgeon,Tirunelveli,Tamil_Nadu,3,14,0
124157,124158,9340860,46,11,married,rented,no,Aviator,"Khora,_Ghaziabad",Uttar_Pradesh,11,10,0
66083,66084,3475913,37,17,single,rented,no,Web_designer,Kolkata,West_Bengal,4,14,0
14039,14040,6269156,66,6,single,rented,no,Hotel_Manager,Chandrapur,Maharashtra,6,12,0
163445,163446,3533484,47,6,single,rented,no,Web_designer,Berhampore,West_Bengal,6,12,0
41912,41913,4125869,47,19,single,rented,no,Flight_attendant,New_Delhi,Delhi,13,12,1
57886,57887,3931749,64,5,single,rented,no,Technician,Darbhanga,Bihar,5,13,0
96592,96593,6415677,68,2,single,rented,no,Chemical_engineer,Nashik,Maharashtra,2,12,0
209658,209659,6877905,40,9,single,rented,yes,Lawyer,Bulandshahr,Uttar_Pradesh,7,11,1
207105,207106,5340166,30,1,single,rented,yes,Engineer,Siliguri,West_Bengal,1,11,0
43994,43995,5899739,75,11,single,rented,yes,Civil_servant,Nagaon,Assam,3,12,0
197889,197890,6493154,31,14,single,rented,no,Scientist,Imphal,Manipur,7,12,0
92545,92546,7394642,53,11,single,rented,yes,Police_officer,Bathinda,Punjab,11,14,0
4952,4953,2009387,53,18,single,rented,no,Drafter,Durgapur,West_Bengal,12,13,0
181583,181584,1526173,35,19,single,rented,yes,Police_officer,Katni,Madhya_Pradesh,13,14,0
202027,202028,8964066,37,6,single,rented,no,Chemical_engineer,Bihar_Sharif,Bihar,5,12,0
243924,243925,4048610,42,10,single,rented,no,Economist,Tenali,Andhra_Pradesh,10,14,0
31578,31579,3390339,22,19,single,rented,no,Comedian,Davanagere,Karnataka,3,13,1
156962,156963,7891663,64,6,single,rented,no,Politician,Akola,Maharashtra,6,10,0
53040,53041,9649624,50,18,single,rented,yes,Designer,Warangal[11][12],Telangana,5,10,0
52644,52645,529939,48,18,single,rented,no,Chemical_engineer,Mathura,Uttar_Pradesh,6,13,0
203180,203181,1200485,63,16,single,owned,no,Industrial_Engineer,Gurgaon,Haryana,4,14,0
62123,62124,585611,31,2,single,rented,no,Engineer,Kishanganj[35],Bihar,2,10,0
148169,148170,6934016,52,12,single,rented,no,Petroleum_Engineer,Kochi,Kerala,3,13,0
203222,203223,6702307,62,4,single,rented,no,Geologist,Silchar,Assam,4,13,0
120443,120444,278747,36,10,single,rented,no,Computer_hardware_engineer,Pondicherry,Puducherry,10,10,0
87642,87643,874579,47,9,single,rented,no,Graphic_Designer,Pallavaram,Tamil_Nadu,7,12,0
218343,218344,3131369,73,8,single,rented,no,Architect,Guntakal,Andhra_Pradesh,8,11,0
94309,94310,8801912,33,16,married,rented,no,Flight_attendant,Gurgaon,Haryana,9,14,0
231257,231258,7574916,46,14,single,rented,no,Official,Ramgarh,Jharkhand,7,10,0
169815,169816,7171033,68,19,married,rented,no,Computer_operator,Jalandhar,Punjab,4,10,0
126460,126461,2421544,46,17,single,rented,no,Artist,Morena,Madhya_Pradesh,6,13,0
250574,250575,4269858,60,20,married,rented,no,Drafter,Gaya,Bihar,3,14,1
118353,118354,5700141,37,9,single,rented,yes,Firefighter,Bhilai,Chhattisgarh,9,14,0
50580,50581,854406,68,13,single,rented,no,Petroleum_Engineer,Nashik,Maharashtra,7,12,0
92286,92287,1322234,31,1,single,rented,yes,Official,Pimpri-Chinchwad,Maharashtra,1,14,0
205033,205034,8420858,55,14,single,rented,no,Technology_specialist,Bhagalpur,Bihar,7,13,0
201141,201142,8489507,30,13,single,owned,no,Magistrate,Dehri[30],Bihar,12,12,0
230562,230563,7946953,55,17,single,rented,no,Physician,Narasaraopet,Andhra_Pradesh,10,14,1
210241,210242,3331423,38,10,single,rented,no,Comedian,Panipat,Haryana,4,13,0
172569,172570,5616939,66,3,single,rented,yes,Air_traffic_controller,Amroha,Uttar_Pradesh,3,11,0
338,339,3419204,79,18,single,owned,no,Geologist,Kottayam,Kerala,3,12,0
35978,35979,9282657,57,17,single,rented,no,Web_designer,Sonipat,Haryana,3,14,0
37391,37392,5523182,41,16,single,rented,yes,Police_officer,Shahjahanpur,Uttar_Pradesh,7,12,0
146954,146955,1818095,30,1,married,rented,no,Graphic_Designer,Amroha,Uttar_Pradesh,1,11,1
227867,227868,5152300,78,8,single,rented,no,Comedian,Bhilai,Chhattisgarh,4,14,0
1729,1730,2377730,64,9,single,rented,no,Drafter,Patiala,Punjab,6,13,0
105330,105331,5725424,73,17,single,rented,no,Scientist,Farrukhabad,Uttar_Pradesh,5,12,0
204573,204574,1598528,72,18,single,rented,no,Computer_operator,Bharatpur,Rajasthan,9,10,0
249411,249412,9270809,63,7,single,rented,no,Computer_hardware_engineer,Visakhapatnam[4],Andhra_Pradesh,7,13,0
109611,109612,6170073,78,18,single,rented,yes,Army_officer,Sasaram[30],Bihar,8,13,0
2486,2487,7694525,44,18,single,rented,yes,Geologist,Jalgaon,Maharashtra,12,10,0
140493,140494,8791091,33,15,single,rented,no,Microbiologist,Karnal,Haryana,12,14,0
33464,33465,6816226,43,13,single,rented,yes,Drafter,Mumbai,Maharashtra,4,13,0
223711,223712,270028,42,12,single,rented,no,Industrial_Engineer,Gandhidham,Gujarat,11,11,0
192478,192479,2800646,40,12,single,rented,yes,Lawyer,Bhavnagar,Gujarat,3,11,0
238330,238331,6018693,53,12,single,rented,no,Army_officer,Bhiwandi,Maharashtra,5,11,0
215451,215452,7273711,67,7,single,rented,no,Firefighter,Unnao,Uttar_Pradesh,7,10,0
100784,100785,8387345,79,19,single,rented,no,Hotel_Manager,Nanded,Maharashtra,14,13,0
76020,76021,4436534,52,1,single,rented,no,Technical_writer,Dehri[30],Bihar,1,14,0
104649,104650,5839084,35,20,single,rented,yes,Secretary,Jamshedpur,Jharkhand,10,10,0
183533,183534,6198292,78,17,single,rented,no,Psychologist,Mangalore,Karnataka,7,11,0
8937,8938,9849899,39,8,single,rented,no,Fashion_Designer,Jorhat,Assam,5,13,1
54461,54462,1171901,57,10,single,norent_noown,yes,Financial_Analyst,Buxar[37],Bihar,9,12,0
50249,50250,1969614,56,14,single,rented,yes,Drafter,Jalna,Maharashtra,12,14,0
139416,139417,1198023,44,7,single,rented,no,Librarian,Kumbakonam,Tamil_Nadu,3,12,0
81152,81153,1856689,46,5,single,rented,yes,Air_traffic_controller,Amravati,Maharashtra,5,12,1
73160,73161,9380612,21,12,single,owned,yes,Air_traffic_controller,Satara,Maharashtra,4,13,0
96973,96974,6060465,49,11,married,rented,yes,Librarian,Pune,Maharashtra,10,14,0
247006,247007,4529084,23,3,married,rented,no,Industrial_Engineer,Shimla,Himachal_Pradesh,3,14,0
178770,178771,117262,65,15,single,rented,no,Biomedical_Engineer,Uluberia,West_Bengal,12,12,0
34266,34267,1650754,78,8,single,rented,no,Designer,Faridabad,Haryana,8,12,0
219049,219050,7222099,23,15,single,rented,yes,Technical_writer,"Khora,_Ghaziabad",Uttar_Pradesh,4,11,0
186428,186429,8830734,55,8,single,rented,yes,Secretary,Shahjahanpur,Uttar_Pradesh,8,12,0
156182,156183,8458068,34,6,single,rented,no,Dentist,Ambattur,Tamil_Nadu,6,13,0
179775,179776,603307,46,12,married,rented,yes,Scientist,Bongaigaon,Assam,12,10,1
251941,251942,5555061,51,11,single,rented,no,Engineer,Asansol,West_Bengal,7,11,0
133642,133643,2060668,67,8,single,rented,yes,Army_officer,Agra,Uttar_Pradesh,3,13,0
185322,185323,9400073,68,1,married,rented,yes,Police_officer,Bhind,Madhya_Pradesh,1,11,0
16025,16026,9777823,61,13,single,rented,no,Politician,Patna,Bihar,8,11,0
21119,21120,5785401,27,20,single,rented,no,Firefighter,Ambala,Haryana,8,13,0
174733,174734,1067890,41,14,single,rented,yes,Air_traffic_controller,Sambalpur,Odisha,3,12,1
142812,142813,9328856,77,7,single,rented,no,Architect,Navi_Mumbai,Maharashtra,7,11,0
110985,110986,8913238,72,14,married,rented,no,Army_officer,Jorhat,Assam,5,12,0
37514,37515,4974476,43,18,single,rented,no,Army_officer,Ranchi,Jharkhand,3,10,0
163355,163356,2803101,25,10,single,rented,no,Physician,Sikar,Rajasthan,10,14,0
102838,102839,461499,68,2,married,rented,no,Official,Allahabad,Uttar_Pradesh[5],2,11,0
203541,203542,4325297,26,19,single,rented,no,Comedian,Jalandhar,Punjab,11,10,0
197138,197139,1435004,50,2,single,rented,yes,Microbiologist,Kavali,Andhra_Pradesh,2,14,1
66370,66371,255794,36,13,single,rented,no,Industrial_Engineer,Indore,Madhya_Pradesh,6,11,0
118269,118270,1920103,31,6,single,rented,no,Analyst,Jaipur,Rajasthan,6,12,0
210808,210809,7371023,24,16,single,rented,no,Hotel_Manager,Ongole,Andhra_Pradesh,10,14,0
6609,6610,6006615,62,19,single,rented,no,Biomedical_Engineer,Orai,Uttar_Pradesh,12,12,0
156692,156693,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10,1
229867,229868,1000192,24,1,single,rented,no,Biomedical_Engineer,Tenali,Andhra_Pradesh,1,14,0
72565,72566,5004535,78,5,single,rented,no,Computer_operator,Gandhidham,Gujarat,5,10,0
108274,108275,3085012,24,0,single,rented,no,Aviator,Raichur,Karnataka,0,10,0
14827,14828,9474065,73,11,single,rented,no,Graphic_Designer,Bokaro,Jharkhand,3,11,0
200687,200688,6621319,27,2,single,rented,yes,Politician,Phusro,Jharkhand,2,14,0
193056,193057,5408156,77,2,single,rented,no,Chemical_engineer,Phusro,Jharkhand,2,14,0
25443,25444,3323452,76,18,single,rented,yes,Psychologist,Mehsana,Gujarat,14,13,0
75140,75141,6410529,45,4,single,rented,no,Financial_Analyst,Morbi,Gujarat,4,14,0
116902,116903,6314607,50,9,single,rented,no,Microbiologist,Vijayanagaram,Andhra_Pradesh,9,13,0
212827,212828,3306272,60,3,single,owned,no,Police_officer,Sonipat,Haryana,3,13,0
241715,241716,8135304,77,3,single,rented,yes,Civil_servant,Sonipat,Haryana,3,12,0
115014,115015,7757255,75,0,single,rented,no,Comedian,Kalyan-Dombivli,Maharashtra,0,14,0
75254,75255,7240595,44,1,single,rented,no,Chemical_engineer,Raichur,Karnataka,1,11,0
100422,100423,7141845,69,13,single,rented,no,Scientist,Bongaigaon,Assam,13,10,0
44387,44388,5945722,38,8,single,rented,no,Surgeon,Rajpur_Sonarpur,West_Bengal,7,10,0
5611,5612,9772105,29,12,single,rented,no,Aviator,Nagercoil,Tamil_Nadu,8,14,0
239199,239200,8081014,25,11,single,rented,no,Technical_writer,Cuttack,Odisha,11,12,0
32288,32289,1278713,31,14,single,rented,no,Chemical_engineer,Katihar,Bihar,13,13,0
233008,233009,7991685,67,12,single,rented,no,Magistrate,Uluberia,West_Bengal,4,10,1
